"tweet_id","text","label"
"1287390124704239616","@USER so glad that the ruling class doesn't get the covid. i'm not going to where a mask because i want to be like them!
#nomaskforme #maga 🍔⛳💰🇺🇲","FAVOR"
"1296354706562797573","at the #demconvention last night @USER  lectured &amp; criticized @USER's behavior in the oval office. #hypocrite #epsteinisland #pedogate2020 HTTP","NONE"
"1294680729914355715","@USER i just wish the corrupt #democrats stfu!!!!🤬
#trump2020nowmorethanever #americafirst #maga 
great again HTTP","FAVOR"
"1296259193591279618","why is @USER famous? wow another cringe-worthy musical number at the #demconvention.","NONE"
"1303404815595327490","@USER it’s genius. the #democrats fall for it every time! #maga","FAVOR"
"1299164168222695426","@USER biden alone can fix it! #gop #trumpsamerica","AGAINST"
"1301734246114000896","the other swing voter  #2020elections #donaldtrump #blackvoters #blacklivesmatter #defeatingtrump #resistingtrump #swingvoters #joebiden #non-voters #voterturnout #gotv #getoutthevote #votersuppression #leftpolitics HTTP","AGAINST"
"1297953542679011328","ken lane made the trip from south carolina to support @USER. #rnc2020 HTTP","NONE"
"1297949474648502272","#rnc2020 ...so far...
fear mongering, frowning hate filled face spewing division and lies.","AGAINST"
"1298799429328105472","@USER @USER yes, and lou holtz's was pre-taped in 1860....goodbye coach #rnc2020","NONE"
"1232511796986175488","@USER @USER where does ""doing 'the wave' with castro"" rate?
potus obama took the fam to cuba and partied with raúl, fidel's brother &amp; successor; what does one think happened to people castro didn't want obama &amp; the world to see? #demdebate HTTP
HTTP","NONE"
"1302080088301801472","caused mass incarceration against african americans, and has been in politics for 40 years. why didn’t he do something to cut a slice off institutional racism when he was vp? do nothing democrats #trump2020 #wakeupamerica #hidenbiden #","FAVOR"
"1304275569752727554","@USER i live in the suburbs &amp; i'd take #antifa / #blm as neighbors over #maga ppl. 🤷‍♀️you &amp; all your racists followers can go inhabit a deserted island. it would be interesting to see how long all you anti-intellectual's would last. 🤣","AGAINST"
"1311122877773537280","@USER @USER no more debates, trump is a moron &amp; cannot stop talking over everyone. ridiculous &amp; absurd. 

#debates2020 #bidenharrislandslide2020 #meltdown #americaortrump #liarinchief #bidenvstrump #trumpmeltdown #adderall #taxreturns @USER #covid19  #presidentialdebate2020 #shutupman","AGAINST"
"1293381071204229120","gen z has been left to clean up cesspools of radical far left corruption in our institutions, our media, and indoctrinated into the minds of our peers. 

we need young conservative leaders to speak up to defend our nation's principles and to stop fearing the mob. #conservative","NONE"
"1311110235084517377","@USER @USER your watching way to much rachel maddow.  biden is a china puppet,  putin hates president trump for building worlds strongest energy independent nation,  self sufficient,  also trying to wean europe from russian oil, 
any hope for you hater/dividers","FAVOR"
"1302948168364158977","@USER is a charter member of the pathetic cowards for trump  #maga HTTP","AGAINST"
"1225237170006478848","@USER with ya.  (but dammit, i'll vote for him if i have to.)

#votebluetosaveamerica","AGAINST"
"1287814449915744256","@USER god help us if trump doesn’t win 🇺🇸 #trump2020","FAVOR"
"1311212670310215681","i’m just gonna say this: if trump wins i’m gonna put a lot of blame on white-leftist who don’t really care about what happen to minorities, but they just want to keep their “principles and values” and refuse to support biden.","AGAINST"
"1289037012914274319","@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER following all patriots #kag...thank you very much brian @USER 🙏🏻🇺🇸👍🏻","NONE"
"1311043522791841793","@USER a must read by china expert ""how china took over while elites slept""! trump/pompeo must keep chipping away at china tentacles in u.s.! call covid what it was--biowarfare!! china deliberately man-made &amp; released it to help biden get elected &amp; revenge for tariffs!! HTTP","NONE"
"1298446405946822656","remember to educate your white friends about uncle tom #rnc2020","NONE"
"1303121038461538305","@USER your entire existence is a farce. a lifestyle of profiting off the backs of others.

#trumpmeltdown #trumpisatraitor #trumphatesourtroops #voteblue #nepotism","AGAINST"
"1293281458602246146","#joebiden doesn’t have enough sense to pick his own vp. 🆘 the country should see this is a major red flag.  he will be president in name only. he will be a puppet jerked around by the violent, radical, leftist, socialist democrats. a disaster for america.  #godblessamerica","NONE"
"1299705832427401216","i've all but lost half of my family due to ""differences"" of political opinion. on the bright side, i'm having a long-running conversation with a bright young colleague who lives in the bay area and for whom the lights are beginning to come on...

#alllivesmattter #trump2020","FAVOR"
"1295552689443688456","there she is there she is #demconvention","NONE"
"1311403129477492736","@USER you speak about anger and division and name calling?! really!? listen to anything you and the #democrat party say when it is something that disagrees with your view. you become ruthless demons and do anything you can to get your followers to attack them. #hypocrisy","FAVOR"
"1240674213276471296","@USER bravo 👏🏼 👏🏼
time for everyone to get together behind #biden (not my first or second choice either) to defeat trump
#2020elections","AGAINST"
"1291304103977549825","@USER you just want to harvest their children.

#maga","FAVOR"
